gene,logFC,P.Value,adj.P.Val,logFC_depth,P_depth,q_depth,hit_baseline,hit_depth,reportable,tier,hierarchy_bin
ANLN,-2.4708895860226,0.0797122529362525,0.609671945995299,-2.27528985551786,0.133220145023936,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
MTFR2,-2.31258954295489,0.0794956533879474,0.609671945995299,-2.51823175119651,0.0827430782772524,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
PDZRN4,-1.63002501630903,0.079905585485066,0.609671945995299,-0.761304764306277,0.439585570019239,0.914151103047844,FALSE,FALSE,FALSE,secondary,HSC_MPP
SLAIN1,-1.45815156066374,0.0795638776710264,0.609671945995299,-0.450629415959888,0.615639230152528,0.947939630260407,FALSE,FALSE,FALSE,secondary,HSC_MPP
SPATC1L,-1.3347109586531,0.0795839793668185,0.609671945995299,-0.846912163119399,0.233814931520934,0.89213520119051,FALSE,FALSE,FALSE,secondary,HSC_MPP
KLHL8,-0.816740190741141,0.078871746948995,0.609671945995299,-0.664565468948775,0.180531730227149,0.875175082919768,FALSE,FALSE,FALSE,secondary,HSC_MPP
USF1,0.810694712846747,0.0787472541462596,0.609671945995299,0.626965439225222,0.207906197850813,0.887180321440757,FALSE,FALSE,FALSE,secondary,HSC_MPP
GDI1,0.791737273445818,0.0791529156171733,0.609671945995299,1.09147453706504,0.0448618085777931,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
MBOAT2,-0.750532034734444,0.0787998829830683,0.609671945995299,-0.702704568740319,0.143441384095858,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
SATB1,-0.695314158850393,0.0795830035944906,0.609671945995299,-0.689551917769322,0.12550597320428,0.856136007321429,FALSE,FALSE,FALSE,secondary,HSC_MPP
TWSG1,0.651994758185179,0.0794335843986481,0.609671945995299,0.534438230743599,0.19032286882858,0.881373182497195,FALSE,FALSE,FALSE,secondary,HSC_MPP
