arm,alpha,kind,k,delta,n,frac_targets_moved,intercept,p_two_sided,wilcoxon_p,p_registered
const,0.5,Dx_to_Treatment,6,0.25,11,0.9545454545454547,-0.07734708839683754,0.056478208848239154,0.2783203125,0.028239104424119577
const,0.5,Dx_to_Relapse,6,0.25,11,0.9393939393939394,-0.007786273352896973,0.8308696187996412,0.7646484375,0.8308696187996412
const,0.5,Dx_to_Treatment,6,0.5,11,0.9696969696969698,-0.07682905212580969,0.05830940665189842,0.2783203125,0.02915470332594921
const,0.5,Dx_to_Relapse,6,0.5,11,0.9696969696969698,-0.0071918833274778665,0.8433374570238782,0.7646484375,0.8433374570238782
const,0.5,Dx_to_Treatment,6,1.0,11,0.9848484848484849,-0.07560348633482285,0.06158887336672716,0.3203125,0.03079443668336358
const,0.5,Dx_to_Relapse,6,1.0,11,0.9696969696969698,-0.005474437423333787,0.8791331597442499,0.7646484375,0.8791331597442499
const,0.5,Dx_to_Treatment,6,2.0,11,0.9848484848484849,-0.07806497817259435,0.05752356405392559,0.240234375,0.028761782026962796
const,0.5,Dx_to_Relapse,6,2.0,11,0.9696969696969698,-0.008271154685977087,0.8150377294481113,0.7001953125,0.8150377294481113
const,0.5,Dx_to_Treatment,6,4.0,11,0.9848484848484849,-0.07981783708936949,0.05304061156308807,0.240234375,0.026520305781544035
const,0.5,Dx_to_Relapse,6,4.0,11,0.9696969696969698,-0.009912821847497668,0.7797292072711642,0.7001953125,0.7797292072711642
const,1.0,Dx_to_Treatment,1,0.0,11,0.0,-0.00422140334272273,0.814851755024246,0.9658203125,0.407425877512123
const,1.0,Dx_to_Relapse,1,0.0,11,0.0,0.01034322152109102,0.2676359804008088,0.46484375,0.2676359804008088
const,1.0,Dx_to_Treatment,1,0.25,11,1.0,-0.0042879567590613735,0.8120915298217226,0.8984375,0.4060457649108613
const,1.0,Dx_to_Relapse,1,0.25,11,1.0,0.010527514821276753,0.25652581948169045,0.46484375,0.25652581948169045
const,1.0,Dx_to_Treatment,1,0.5,11,1.0,-0.004218053147893191,0.815013699628362,0.8984375,0.407506849814181
const,1.0,Dx_to_Relapse,1,0.5,11,1.0,0.010610934936833046,0.254530280412994,0.4130859375,0.254530280412994
