dataset,sample,rds,timepoint,uid_patient,study,is_healthy_donor,timepoint_raw,timepoint_was_fixed,in_selection,dataset_role,in_primary_contrast,n_ccc_cells,is_patient_representative
GSE253355,GSM8019215_H24,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE253355/GSM8019215_H24.rds,Healthy,GSE253355:H24,Bandyopadhyay 2024 Cell,FALSE,Healthy,FALSE,TRUE,stroma_reference,FALSE,,
GSE253355,GSM8019216_H32,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE253355/GSM8019216_H32.rds,Healthy,GSE253355:H32,Bandyopadhyay 2024 Cell,FALSE,Healthy,FALSE,TRUE,stroma_reference,FALSE,,
GSE253355,GSM8019217_H33,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE253355/GSM8019217_H33.rds,Healthy,GSE253355:H33,Bandyopadhyay 2024 Cell,FALSE,Healthy,FALSE,TRUE,stroma_reference,FALSE,,
GSE253355,GSM8019218_H34,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE253355/GSM8019218_H34.rds,Healthy,GSE253355:H34,Bandyopadhyay 2024 Cell,FALSE,Healthy,FALSE,TRUE,stroma_reference,FALSE,,
GSE253355,GSM8019219_H35,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE253355/GSM8019219_H35.rds,Healthy,GSE253355:H35,Bandyopadhyay 2024 Cell,FALSE,Healthy,FALSE,TRUE,stroma_reference,FALSE,,
GSE253355,GSM8019220_H36,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE253355/GSM8019220_H36.rds,Healthy,GSE253355:H36,Bandyopadhyay 2024 Cell,FALSE,Healthy,FALSE,TRUE,stroma_reference,FALSE,,
GSE253355,GSM8019221_H38,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE253355/GSM8019221_H38.rds,Healthy,GSE253355:H38,Bandyopadhyay 2024 Cell,FALSE,Healthy,FALSE,TRUE,stroma_reference,FALSE,,
GSE253355,GSM8019222_H39,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE253355/GSM8019222_H39.rds,Healthy,GSE253355:H39,Bandyopadhyay 2024 Cell,FALSE,Healthy,FALSE,TRUE,stroma_reference,FALSE,,
GSE253355,GSM8019223_H41,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/GSE253355/GSM8019223_H41.rds,Healthy,GSE253355:H41,Bandyopadhyay 2024 Cell,FALSE,Healthy,FALSE,TRUE,stroma_reference,FALSE,,
Petti2019,508084,/LARGE1/gr10634/gaozy/aml_niche_net/02_seurat_objects/01_per_sample_qc/Petti2019/508084.rds,Diagnosis,Petti2019:508084,Petti 2019 Nat Commun,FALSE,Diagnosis,FALSE,TRUE,core,TRUE,8405,TRUE
