dataset,sample,ligand,n_edges,total_prob,primitive_sender_share,primitive_receiver_share,primitive_autocrine_share,immune_receiver_share,prim_to_immune_share,group
GSE185381,GSM5613775_2020-08-26-Control4003-c2,CD99,11,0.36978275531212745,0.2505386280714889,0.21488854000402693,0.008763662677248754,0.7851114599959733,0.24177496539424018,healthy
GSE185381,GSM5613775_2020-08-26-Control4003-c2,LGALS9,10,0.24546425628359653,0.0,0.17159140124957897,0.0,0.8284085987504209,0.0,healthy
GSE185381,GSM5613775_2020-08-26-Control4003-c2,MIF,11,2.4944340187994087,0.3524445787702185,0.0,0.0,1.0,0.3524445787702185,healthy
GSE185381,GSM5613776_2020-08-26-Control4003-c3,CD99,3,0.0365880033681428,0.0,0.0,0.0,1.0,0.0,healthy
GSE185381,GSM5613776_2020-08-26-Control4003-c3,LGALS9,7,0.1847669356383085,0.0,0.0,0.0,1.0,0.0,healthy
GSE185381,GSM5613776_2020-08-26-Control4003-c3,MIF,5,1.097140172145407,0.0,0.0,0.0,1.0,0.0,healthy
GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1,CD99,17,1.6769094779462785,0.6796627241441356,0.5780468267266532,0.403880459128021,0.4219531732733468,0.2757822650161146,AML
GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1,LGALS9,36,1.17584621675116,0.4354713685355498,0.34655826612679125,0.14835833374254245,0.6534417338732087,0.2871130347930073,AML
GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1,MIF,13,2.382104098934854,0.47163454400175747,0.0,0.0,1.0,0.47163454400175747,AML
GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2,CD99,14,1.8691949826818515,0.6760753372439826,0.5866730851636066,0.41043201156219045,0.4133269148363933,0.26564332568179216,AML
GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2,LGALS9,39,1.4224025118288708,0.5283333623137427,0.3117133811212744,0.1642608060330153,0.6882866188787257,0.3640725562807276,AML
GSE185381,GSM5613778_2020-09-11-AML4340_AML1371-c2,MIF,14,2.912994414941843,0.36000887950469757,0.0,0.0,1.0,0.36000887950469757,AML
GSE185381,GSM5613780_2020-10-06-AML4897,CD99,6,0.10202581347442041,0.11507088007340678,0.0,0.0,1.0,0.11507088007340678,AML
GSE185381,GSM5613780_2020-10-06-AML4897,LGALS9,30,0.3953232298624564,0.47501774072522607,0.22425067057488082,0.10651549561268465,0.6396774037678791,0.30386705298019817,AML
GSE185381,GSM5613780_2020-10-06-AML4897,MIF,17,2.2250835297864713,0.32881911365651667,0.0,0.0,1.0,0.32881911365651667,AML
GSE185381,GSM5613781_2020-10-06-count2,CD99,20,1.3191119919114858,0.5699641699308114,0.5315766158915685,0.2920533670705453,0.46842338410843176,0.2779108028602661,AML
GSE185381,GSM5613781_2020-10-06-count2,LGALS9,25,0.8361310305575456,0.4897409265502167,0.38075900057260276,0.19805742135271714,0.5206428393032873,0.25493447883676285,AML
